,result
time behind ball,0.8243035057450245
shooting percentage,0.7202479483696438
time slow speed,0.6192285664186142
assists,0.5933908290969266
shots,0.5843170403487149
time powerslide,0.2759334971260966
time on ground,0.27458403881404636
time defensive half,0.25866995376230756
demos inflicted,0.23448415270421968
time defensive third,0.2016873468638883
amount collected small pads,0.12693844368516508
saves,0.0747435092751936
time neutral third,0.026762096988765735
0 boost time,0.011660794961441068
game duration,-4.875711343429409e-16
time high in air,-0.08412719908371329
time low in air,-0.12667914638526664
count collected small pads,-0.1472358280270879
time ball in own side,-0.192583665845703
time offensive third,-0.2247477320067757
demos taken,-0.23448415270421968
count powerslide,-0.23531806737663863
time offensive half,-0.2430019464031022
avg boost amount,-0.26928787634967116
amount stolen small pads,-0.301407276460218
time boost speed,-0.3017430565052869
amount overfill total,-0.31067207946020237
time ball possession,-0.31958650286663737
100 boost time,-0.3355110335351786
amount overfill stolen,-0.37581355267957006
total distance,-0.39855451687065013
amount stolen,-0.44911255034643865
count stolen small pads,-0.45127530089490203
amount stolen big pads,-0.4517200106681303
time supersonic speed,-0.4519963247911949
count stolen big pads,-0.4577905129364198
amount used while supersonic,-0.5220500985749709
bpm,-0.6530290563436113
count collected big pads,-0.703729556249229
amount collected,-0.715302532707061
amount collected big pads,-0.7153301758290295
time in front of ball,-0.8858334760163841
